, score 72.968637, steps 749, (3.875209 sec/eps)
, score 78.181895, steps 712, (4.296080 sec/eps)
, score 92.166438, steps 157, (0.960886 sec/eps)
, score 91.242728, steps 130, (0.796278 sec/eps)
, score 89.851097, steps 467, (2.882944 sec/eps)
, score 76.655057, steps 669, (4.134844 sec/eps)
, score 63.215713, steps 1041, (6.288027 sec/eps)
, score 90.163025, steps 283, (1.707438 sec/eps)
, score 71.564171, steps 828, (5.089432 sec/eps)
, score 91.218566, steps 230, (1.393874 sec/eps)
, score 87.041485, steps 530, (3.227241 sec/eps)
, score 67.825684, steps 1095, (6.665766 sec/eps)
, score 90.783344, steps 250, (1.457931 sec/eps)
, score 61.905489, steps 1238, (7.363401 sec/eps)
, score 85.029318, steps 604, (3.690184 sec/eps)
, score 92.301091, steps 244, (1.518666 sec/eps)
, score 70.853369, steps 1050, (6.560130 sec/eps)
, score 74.135768, steps 701, (4.392466 sec/eps)
, score 55.032199, steps 1581, (9.926381 sec/eps)
, score 86.397174, steps 519, (3.251606 sec/eps)
, score 81.681196, steps 696, (4.366814 sec/eps)
, score 79.269097, steps 638, (4.008974 sec/eps)
, score 74.366869, steps 812, (5.089578 sec/eps)
, score 79.319859, steps 669, (4.195889 sec/eps)
, score 80.499378, steps 595, (3.731500 sec/eps)
, score 55.436620, steps 1669, (10.494578 sec/eps)
, score 33.133144, steps 2537, (15.953502 sec/eps)
, score 68.665087, steps 1259, (7.887061 sec/eps)
, score 78.864524, steps 939, (5.822313 sec/eps)
, score 86.132631, steps 526, (3.329412 sec/eps)
, score 87.880932, steps 563, (3.564723 sec/eps)
, score 81.180774, steps 804, (4.998974 sec/eps)
, score 89.212164, steps 421, (2.619438 sec/eps)
, score 78.930694, steps 838, (5.201811 sec/eps)
, score 86.536970, steps 595, (3.695071 sec/eps)
, score 82.768178, steps 897, (5.552762 sec/eps)
, score 83.186341, steps 708, (4.377055 sec/eps)
, score 88.344194, steps 525, (3.232089 sec/eps)
, score 94.529645, steps 195, (1.203797 sec/eps)
, score 91.050893, steps 298, (1.837111 sec/eps)
, score 92.386597, steps 295, (1.818928 sec/eps)
, score 83.654684, steps 660, (4.080155 sec/eps)
, score 90.587612, steps 430, (2.564689 sec/eps)
, score 78.570435, steps 944, (5.830110 sec/eps)
, score 88.678147, steps 502, (2.988658 sec/eps)
, score 85.288539, steps 581, (3.628422 sec/eps)
, score 95.600468, steps 189, (1.182717 sec/eps)
, score 85.889565, steps 432, (2.706846 sec/eps)
, score 77.152661, steps 908, (5.679646 sec/eps)
, score 88.821137, steps 297, (1.859862 sec/eps)
, score 94.514683, steps 320, (2.009260 sec/eps)
, score 88.271987, steps 599, (3.769727 sec/eps)
, score 93.657100, steps 377, (2.372921 sec/eps)
, score 89.192832, steps 391, (2.394039 sec/eps)
, score 92.008287, steps 309, (1.891027 sec/eps)
, score 95.217163, steps 362, (2.279919 sec/eps)
, score 93.684912, steps 258, (1.606759 sec/eps)
, score 93.762461, steps 225, (1.398739 sec/eps)
, score 93.147349, steps 310, (1.747117 sec/eps)
, score 95.780244, steps 225, (1.356695 sec/eps)
, score 92.405738, steps 330, (2.056483 sec/eps)
, score 91.058531, steps 293, (1.825885 sec/eps)
, score 89.882037, steps 361, (2.244362 sec/eps)
, score 95.038442, steps 155, (0.963824 sec/eps)
, score 88.872208, steps 409, (2.533953 sec/eps)
, score 93.891744, steps 243, (1.459507 sec/eps)
, score 92.607294, steps 233, (1.217657 sec/eps)
, score 94.552909, steps 204, (1.074462 sec/eps)
, score 94.351063, steps 212, (1.112590 sec/eps)
, score 95.142698, steps 228, (1.196490 sec/eps)
, score 95.402014, steps 198, (1.228993 sec/eps)
, score 95.519514, steps 152, (0.942240 sec/eps)
, score 93.813825, steps 255, (1.595255 sec/eps)
, score 95.823218, steps 207, (1.295351 sec/eps)
, score 94.426780, steps 227, (1.430145 sec/eps)
, score 94.604020, steps 224, (1.414343 sec/eps)
, score 94.486633, steps 227, (1.432313 sec/eps)
, score 92.985807, steps 318, (2.008375 sec/eps)
, score 95.794001, steps 268, (1.683685 sec/eps)
, score 95.132002, steps 95, (0.591706 sec/eps)
